Pair;MeanDiff;95%CI_low;95%CI_high;p_raw;p_corr;Significant
LinReg,LogReg92;1.966;1.576;2.369;0.0;0.0;True
LinReg,NNBCE;0.809;0.399;1.208;0.001;0.003;True
LinReg,NNMR;1.34;0.926;1.727;0.0;0.0;True
LogReg92,NNBCE;-1.157;-1.671;-0.647;0.0;0.0;True
LogReg92,NNMR;-0.626;-1.15;-0.132;0.035;0.035;True
NNBCE,NNMR;0.532;0.217;0.833;0.001;0.003;True
